sinal,data,hora,lado,entry,nivel,dist_nivel,range_dia_ate_toque,range_5c,range_15c,atr14,corpo_candle_ant,pavio_sup_ant,pavio_inf_ant,dir_candle_ant,seq_mesma_direcao,vel_1min,vel_3min,vel_5min,n_toques_antes_hoje,ordinal_toque,dist_abertura_sessao,excesso_sobre_nivel,hora_min_et,mfe60,mae60,mfe_flatten,pnl_real,motivo_real
NIV_S22,2026-06-03,11:32,SHORT,30717.35,30719.25,1.9,311.75,40.75,65.0,25.82,2.5,6.0,10.75,1,1,1.5,6.25,26.5,15,16,26.15,0.5,633,102.35,22.15,348.85,66.0,Trailing
NIV_S23,2026-06-03,11:33,SHORT,30716.45,30719.25,2.8,311.75,40.75,65.0,25.82,2.5,6.0,10.75,1,1,1.5,6.25,26.5,15,16,27.05,0.5,633,101.45,23.05,347.95,4.0,Trailing
NIV_S24,2026-06-03,11:34,SHORT,30718.85,30719.25,0.4,311.75,40.75,65.0,24.23,2.25,0.75,10.5,-1,1,0.75,2.25,28.25,16,17,24.65,4.5,634,103.85,20.65,350.35,18.5,Trailing
NIV_L30,2026-06-04,14:12,LONG,30500.4,30496.0,4.4,349.5,32.0,36.25,10.11,2.75,2.25,3.25,-1,1,7.75,13.5,32.0,222,223,219.15,4.5,792,95.85,26.4,102.85,-124.0,Stop
NIV_L31,2026-06-04,14:26,LONG,30504.75,30496.0,8.75,354.25,29.75,31.25,10.46,1.25,3.5,2.75,1,3,11.75,21.0,14.0,236,237,223.5,4.5,806,93.75,3.75,98.5,40.0,Trailing
NIV_L32,2026-06-04,16:56,LONG,30497.1,30496.0,1.1,452.25,40.0,70.25,15.36,3.5,8.0,1.5,-1,3,22.25,28.0,22.25,238,239,215.85,2.25,956,7.4,99.6,7.4,39.0,Trailing
NIV_L34,2026-06-04,16:59,LONG,30499.0,30496.0,3.0,452.25,43.0,67.75,16.3,5.0,6.75,5.5,1,1,2.75,4.0,22.25,241,242,217.75,4.25,959,3.25,101.5,3.25,-131.0,Stop
NIV_S1,2026-06-08,11:37,SHORT,29593.25,29604.25,11.0,272.25,89.0,210.5,34.43,24.5,3.75,11.25,1,2,22.25,72.75,72.25,0,1,58.5,-0.5,637,65.5,149.75,272.0,44.5,Trailing
NIV_S2,2026-06-08,11:41,SHORT,29590.65,29604.25,13.6,272.25,49.25,123.25,30.07,10.25,12.5,16.5,1,1,6.25,10.75,19.25,1,2,55.9,-2.25,641,62.9,152.35,269.4,30.0,Trailing
NIV_S5,2026-06-08,13:01,SHORT,29595.95,29604.25,8.3,411.5,43.5,118.0,24.05,9.75,2.0,6.0,1,1,13.75,17.5,30.0,72,73,61.2,12.75,721,49.7,96.3,292.45,54.5,Trailing
NIV_S6,2026-06-08,13:11,SHORT,29598.2,29604.25,6.05,411.5,52.25,69.25,23.46,4.0,5.5,11.5,-1,3,15.0,31.75,26.25,82,83,63.45,12.25,731,105.95,94.05,294.7,-130.5,Stop
NIV_S14,2026-06-09,10:55,SHORT,29731.2,29743.0,11.8,215.0,122.25,189.25,31.84,26.5,2.0,3.0,-1,1,41.75,59.75,111.0,13,14,11.2,40.75,595,647.45,15.05,1503.45,37.0,Trailing
NIV_S17,2026-06-11,15:19,SHORT,29237.3,29250.0,12.7,724.75,95.75,178.5,36.64,1.75,8.75,22.75,1,9,1.0,23.0,83.25,10,11,466.3,-3.5,859,87.3,156.95,87.3,-7.5,Trailing
NIV_S18,2026-06-11,15:47,SHORT,29247.1,29250.0,2.9,724.75,67.75,83.5,22.86,13.5,2.75,7.0,1,5,7.25,23.75,50.25,13,14,476.1,6.0,887,17.6,297.15,17.6,24.0,Trailing
