sinal,data,hora,lado,entry,nivel,dist_nivel,range_dia_ate_toque,range_5c,range_15c,atr14,corpo_candle_ant,dir_candle_ant,seq_mesma_direcao,vel_3min,excesso_sobre_nivel,hora_min_et,mfe60,mae60,pnl_real,motivo_real
NIV_L12,2026-06-16,11:33,LONG,30312.2,30305.0,7.2,285.5,117.75,193.75,37.18,28.0,-1,6,61.5,10.5,633,95.05,118.7,-6.5,Trailing
NIV_L8,2026-06-17,15:02,LONG,30020.1,30008.0,12.1,253.0,207.75,207.75,32.96,162.5,-1,1,122.75,21.25,842,191.4,253.1,30.0,Trailing
NIV_L11,2026-06-17,15:20,LONG,30018.6,30008.0,10.6,461.0,85.5,266.75,51.59,20.25,1,1,14.5,1.5,860,192.9,144.35,7.0,Trailing
NIV_S7,2026-06-22,10:37,SHORT,30861.0,30873.75,12.75,144.75,111.5,144.75,36.91,60.5,1,2,85.0,-5.0,577,211.75,106.75,18.5,Trailing
NIV_S8,2026-06-22,10:48,SHORT,30872.5,30873.75,1.25,169.75,111.0,169.75,43.79,5.25,-1,1,84.0,0.0,588,259.75,95.25,49.0,Trailing
NIV_L4,2026-06-24,11:20,LONG,29581.9,29577.25,4.65,279.5,120.0,150.0,47.89,18.0,1,1,14.25,1.75,620,325.6,56.65,-126.0,Stop
NIV_L5,2026-06-24,14:11,LONG,29585.5,29577.25,8.25,382.25,92.75,117.75,26.61,11.0,1,1,26.0,26.0,791,2.75,220.75,-159.0,Stop
NIV_S6,2026-06-25,10:42,SHORT,29904.9,29907.5,2.6,295.0,181.0,295.0,44.68,49.0,-1,5,103.5,54.0,582,608.4,8.6,111.5,Trailing
NIV_S4,2026-06-29,10:43,SHORT,29755.95,29770.0,14.05,211.0,130.75,211.0,57.93,14.25,-1,1,45.75,-4.25,583,481.95,82.55,62.0,Trailing
NIV_S6,2026-06-29,10:55,SHORT,29760.3,29770.0,9.7,281.5,117.25,162.5,50.79,8.25,-1,1,51.5,46.0,595,486.3,15.7,-111.0,Stop
NIV_S7,2026-06-29,12:33,SHORT,29769.4,29770.0,0.6,564.5,72.5,143.5,30.52,3.75,-1,1,3.0,19.0,693,34.4,139.35,31.0,Trailing
NIV_S9,2026-06-29,12:37,SHORT,29771.35,29770.0,1.35,564.5,54.0,143.5,27.11,11.0,-1,2,3.0,2.0,697,2.1,137.4,-125.5,Stop
