data,tipo,ts_et,ts_utc,symbol,open,high,low,close,volume
2024-09-27,bar_ET_15:59,2024-09-27 15:59:00 EDT,2024-09-27 19:59:00,MNQZ4,20226.0,20227.75,20216.25,20223.0,4961
2024-09-27,bar_ET_16:00,2024-09-27 16:00:00 EDT,2024-09-27 20:00:00,MNQZ4,20223.0,20227.25,20212.25,20216.5,3045
2024-09-27,bar_ET_17:59,(sem barra),,,,,,,
2024-09-27,bar_ET_18:00,(sem barra),,,,,,,
2024-10-03,primeira_barra_do_dia_ET,2024-10-03 00:00:00 EDT,2024-10-03 04:00:00,MNQZ4,19950.0,19952.0,19948.75,19950.25,179
2024-10-03,ultima_barra_do_dia_ET,2024-10-03 23:59:00 EDT,2024-10-04 03:59:00,MNQZ4,20011.25,20014.75,20010.75,20012.25,103
2024-10-03,bar_ET_09:29,2024-10-03 09:29:00 EDT,2024-10-03 13:29:00,MNQZ4,19903.75,19923.0,19901.25,19912.5,2342
2024-10-03,bar_ET_09:30,2024-10-03 09:30:00 EDT,2024-10-03 13:30:00,MNQZ4,19912.25,19930.75,19906.0,19921.75,5642
2024-10-03,bar_ET_09:31,2024-10-03 09:31:00 EDT,2024-10-03 13:31:00,MNQZ4,19921.25,19927.75,19894.5,19926.5,7468
2024-10-03,bar_ET_15:59,2024-10-03 15:59:00 EDT,2024-10-03 19:59:00,MNQZ4,19996.5,20006.75,19978.25,19988.0,5964
2024-10-03,bar_ET_16:00,2024-10-03 16:00:00 EDT,2024-10-03 20:00:00,MNQZ4,19988.25,19998.0,19984.75,19991.75,1986
2024-10-03,bar_ET_17:59,(sem barra),,,,,,,
2024-10-03,bar_ET_18:00,2024-10-03 18:00:00 EDT,2024-10-03 22:00:00,MNQZ4,19971.75,19971.75,19952.5,19956.25,594
2024-10-09,primeira_barra_do_dia_ET,2024-10-09 00:00:00 EDT,2024-10-09 04:00:00,MNQZ4,20237.5,20238.0,20234.75,20237.25,235
2024-10-09,ultima_barra_do_dia_ET,2024-10-09 23:59:00 EDT,2024-10-10 03:59:00,MNQZ4,20472.25,20472.25,20470.25,20470.75,69
2024-10-09,bar_ET_09:29,2024-10-09 09:29:00 EDT,2024-10-09 13:29:00,MNQZ4,20286.5,20287.75,20278.5,20282.25,1644
2024-10-09,bar_ET_09:30,2024-10-09 09:30:00 EDT,2024-10-09 13:30:00,MNQZ4,20282.75,20290.0,20279.25,20284.25,4103
2024-10-09,bar_ET_09:31,2024-10-09 09:31:00 EDT,2024-10-09 13:31:00,MNQZ4,20284.25,20285.75,20264.75,20266.75,5721
2024-10-09,bar_ET_15:59,2024-10-09 15:59:00 EDT,2024-10-09 19:59:00,MNQZ4,20474.25,20477.0,20458.25,20458.5,5378
2024-10-09,bar_ET_16:00,2024-10-09 16:00:00 EDT,2024-10-09 20:00:00,MNQZ4,20458.5,20459.25,20445.25,20446.5,4326
2024-10-09,bar_ET_17:59,(sem barra),,,,,,,
2024-10-09,bar_ET_18:00,2024-10-09 18:00:00 EDT,2024-10-09 22:00:00,MNQZ4,20447.75,20451.5,20441.0,20442.25,533
2024-10-14,primeira_barra_do_dia_ET,2024-10-14 00:00:00 EDT,2024-10-14 04:00:00,MNQZ4,20408.0,20408.0,20406.5,20407.25,79
2024-10-14,ultima_barra_do_dia_ET,2024-10-14 23:59:00 EDT,2024-10-15 03:59:00,MNQZ4,20633.25,20634.5,20632.75,20633.0,76
2024-10-14,bar_ET_09:29,2024-10-14 09:29:00 EDT,2024-10-14 13:29:00,MNQZ4,20550.5,20553.0,20548.5,20550.75,1068
2024-10-14,bar_ET_09:30,2024-10-14 09:30:00 EDT,2024-10-14 13:30:00,MNQZ4,20551.0,20561.0,20540.75,20554.25,6321
2024-10-14,bar_ET_09:31,2024-10-14 09:31:00 EDT,2024-10-14 13:31:00,MNQZ4,20555.0,20568.75,20551.0,20557.0,5140
2024-10-14,bar_ET_15:59,2024-10-14 15:59:00 EDT,2024-10-14 19:59:00,MNQZ4,20621.75,20625.5,20613.0,20621.5,5991
2024-10-14,bar_ET_16:00,2024-10-14 16:00:00 EDT,2024-10-14 20:00:00,MNQZ4,20621.5,20628.25,20606.25,20614.75,3656
2024-10-14,bar_ET_17:59,(sem barra),,,,,,,
2024-10-14,bar_ET_18:00,2024-10-14 18:00:00 EDT,2024-10-14 22:00:00,MNQZ4,20637.5,20640.0,20625.75,20628.0,664
2024-10-18,primeira_barra_do_dia_ET,2024-10-18 00:00:00 EDT,2024-10-18 04:00:00,MNQZ4,20362.0,20362.25,20358.75,20360.75,158
2024-10-18,ultima_barra_do_dia_ET,2024-10-18 16:59:00 EDT,2024-10-18 20:59:00,MNQZ4,20484.75,20484.75,20482.25,20484.25,231
2024-10-18,bar_ET_09:29,2024-10-18 09:29:00 EDT,2024-10-18 13:29:00,MNQZ4,20496.75,20498.25,20464.5,20466.25,4203
2024-10-18,bar_ET_09:30,2024-10-18 09:30:00 EDT,2024-10-18 13:30:00,MNQZ4,20466.0,20468.25,20438.5,20452.5,10639
2024-10-18,bar_ET_09:31,2024-10-18 09:31:00 EDT,2024-10-18 13:31:00,MNQZ4,20452.0,20456.5,20435.0,20436.5,7139
2024-10-18,bar_ET_15:59,2024-10-18 15:59:00 EDT,2024-10-18 19:59:00,MNQZ4,20482.5,20487.0,20477.0,20482.5,4389
2024-10-18,bar_ET_16:00,2024-10-18 16:00:00 EDT,2024-10-18 20:00:00,MNQZ4,20482.25,20487.25,20474.25,20483.75,2408
2024-10-18,bar_ET_17:59,(sem barra),,,,,,,
2024-10-18,bar_ET_18:00,(sem barra),,,,,,,
2024-10-23,primeira_barra_do_dia_ET,2024-10-23 00:00:00 EDT,2024-10-23 04:00:00,MNQZ4,20512.25,20512.25,20508.25,20511.25,204
2024-10-23,ultima_barra_do_dia_ET,2024-10-23 23:59:00 EDT,2024-10-24 03:59:00,MNQZ4,20320.0,20321.5,20320.0,20320.0,130
2024-10-23,bar_ET_09:29,2024-10-23 09:29:00 EDT,2024-10-23 13:29:00,MNQZ4,20434.25,20436.0,20431.25,20434.75,1238
2024-10-23,bar_ET_09:30,2024-10-23 09:30:00 EDT,2024-10-23 13:30:00,MNQZ4,20434.75,20462.75,20433.75,20447.0,9883
2024-10-23,bar_ET_09:31,2024-10-23 09:31:00 EDT,2024-10-23 13:31:00,MNQZ4,20446.75,20448.25,20407.0,20434.25,11205
2024-10-23,bar_ET_15:59,2024-10-23 15:59:00 EDT,2024-10-23 19:59:00,MNQZ4,20214.0,20225.75,20211.0,20218.5,4715
2024-10-23,bar_ET_16:00,2024-10-23 16:00:00 EDT,2024-10-23 20:00:00,MNQZ4,20218.5,20224.5,20206.0,20209.75,2506
2024-10-23,bar_ET_17:59,(sem barra),,,,,,,
2024-10-23,bar_ET_18:00,2024-10-23 18:00:00 EDT,2024-10-23 22:00:00,MNQZ4,20299.5,20302.75,20290.25,20294.25,1024
2024-10-29,primeira_barra_do_dia_ET,2024-10-29 00:00:00 EDT,2024-10-29 04:00:00,MNQZ4,20460.75,20462.0,20453.5,20460.25,642
2024-10-29,ultima_barra_do_dia_ET,2024-10-29 23:59:00 EDT,2024-10-30 03:59:00,MNQZ4,20728.25,20730.5,20728.0,20729.0,165
2024-10-29,bar_ET_09:29,2024-10-29 09:29:00 EDT,2024-10-29 13:29:00,MNQZ4,20510.5,20513.0,20507.25,20510.75,1718
2024-10-29,bar_ET_09:30,2024-10-29 09:30:00 EDT,2024-10-29 13:30:00,MNQZ4,20511.0,20526.75,20490.75,20493.5,9071
2024-10-29,bar_ET_09:31,2024-10-29 09:31:00 EDT,2024-10-29 13:31:00,MNQZ4,20493.5,20502.25,20476.0,20479.75,8703
2024-10-29,bar_ET_15:59,2024-10-29 15:59:00 EDT,2024-10-29 19:59:00,MNQZ4,20691.25,20702.5,20688.75,20695.25,4919
2024-10-29,bar_ET_16:00,2024-10-29 16:00:00 EDT,2024-10-29 20:00:00,MNQZ4,20695.5,20705.0,20688.75,20704.0,2344
2024-10-29,bar_ET_17:59,(sem barra),,,,,,,
2024-10-29,bar_ET_18:00,2024-10-29 18:00:00 EDT,2024-10-29 22:00:00,MNQZ4,20725.0,20737.0,20719.5,20721.0,1111
